epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,140.939,1.35138,1.05226,1.01156,1.6832,0.76344,0.75,0.945,0.51662,0.76344,0.75,0.945,0.58529,0.98144,0.72305,0.72784,1.54179,0.000615781,0.000615781,0.000615781
43,144.277,1.31384,1.13993,0.97298,1.69725,0.90833,0.80361,0.9487,0.52435,0.90833,0.80361,0.9487,0.55139,0.999,0.7229,0.74469,1.54217,0.000600313,0.000600313,0.000600313
44,147.605,1.25915,1.2201,0.96026,1.64192,0.91025,0.82432,0.92114,0.53116,0.91025,0.82432,0.92114,0.52688,0.99158,0.74511,0.73979,1.54651,0.000584844,0.000584844,0.000584844
45,150.896,1.27923,1.07342,0.97139,1.65743,0.79218,0.83471,0.9325,0.59449,0.79218,0.83471,0.9325,0.55597,0.92235,0.78986,0.73173,1.51191,0.000569375,0.000569375,0.000569375
46,154.253,1.15189,1.05606,0.90662,1.5748,0.83614,0.91667,0.91762,0.62072,0.83614,0.91667,0.91762,0.59029,0.91778,0.79429,0.72602,1.48455,0.000553906,0.000553906,0.000553906
47,157.686,1.26535,1.01681,0.9973,1.70818,0.84348,1,0.96167,0.63084,0.84348,1,0.96167,0.63986,0.95816,0.76109,0.73012,1.48112,0.000538438,0.000538438,0.000538438
48,161.001,1.16938,0.9403,0.91708,1.59147,0.77739,1,0.97833,0.65796,0.77739,1,0.97833,0.66625,0.92241,0.69324,0.69894,1.4659,0.000522969,0.000522969,0.000522969
49,164.408,1.3032,1.0827,0.98029,1.73094,0.79358,1,0.97833,0.70644,0.79358,1,0.97833,0.69982,0.85493,0.66686,0.68978,1.44009,0.0005075,0.0005075,0.0005075
50,167.878,1.26719,1.10344,0.93807,1.59832,0.83804,1,0.995,0.69743,0.83804,1,0.995,0.70946,0.86088,0.66103,0.68151,1.44385,0.000492031,0.000492031,0.000492031
51,171.311,1.26773,1.14575,0.93245,1.62547,0.93628,0.85832,0.97833,0.65795,0.93628,0.85832,0.97833,0.67157,0.87054,0.66274,0.68618,1.44126,0.000476562,0.000476562,0.000476562
